name,threshold,best.model.step,interpolation.last,extrapolation.last,interpolation.step.solved,extrapolation.step.solved,sparse.error.max,solved,model,operation,seed,size
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s0_h2_z2,1.47861742158438e-5,2790,5.367651922938421e-8,4.97774863106315e-6,27000,44000,0.49324679374694824,TRUE,Linear,$\bm{+}$,0,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s1_h2_z2,1.47861742158438e-5,3638,6.412708586367444e-8,1.0533741487961379e-6,37000,44000,0.8123922348022461,TRUE,Linear,$\bm{+}$,1,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s10_h2_z2,1.47861742158438e-5,3075,1.3501836981788529e-8,1.341748543381982e-6,27000,54000,0.49690020084381104,TRUE,Linear,$\bm{+}$,10,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s11_h2_z2,1.47861742158438e-5,1284,8.336256485108606e-8,2.97884912470181e-6,30000,73000,0.49956199526786804,TRUE,Linear,$\bm{+}$,11,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s12_h2_z2,1.47861742158438e-5,2378,5.2736243816298156e-8,1.954958179339883e-6,30000,64000,0.5329239368438721,TRUE,Linear,$\bm{+}$,12,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s13_h2_z2,1.47861742158438e-5,3854,4.643402817805509e-8,2.45801015807956e-6,29000,56000,0.5890357494354248,TRUE,Linear,$\bm{+}$,13,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s14_h2_z2,1.47861742158438e-5,1810,2.4567951228959828e-8,8.524674512955244e-7,28000,68000,0.6576728820800781,TRUE,Linear,$\bm{+}$,14,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s15_h2_z2,1.47861742158438e-5,4385,5.0631985715199335e-8,1.5183135246843449e-6,29000,64000,0.5118100643157959,TRUE,Linear,$\bm{+}$,15,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s16_h2_z2,1.47861742158438e-5,4421,6.095676496897795e-8,2.4933283384598326e-6,28000,73000,0.5278952121734619,TRUE,Linear,$\bm{+}$,16,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s17_h2_z2,1.47861742158438e-5,4496,5.6927856206812066e-8,7.138897899494623e-7,26000,51000,0.4999602735042572,TRUE,Linear,$\bm{+}$,17,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s18_h2_z2,1.47861742158438e-5,1704,4.709571399530432e-8,3.977605501859216e-6,25000,73000,0.4988428056240082,TRUE,Linear,$\bm{+}$,18,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s19_h2_z2,1.47861742158438e-5,4585,3.254659119988901e-8,3.4045901884383056e-6,29000,49000,0.4961119294166565,TRUE,Linear,$\bm{+}$,19,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s2_h2_z2,1.47861742158438e-5,4437,5.3532385635435276e-8,1.4177030607243069e-6,30000,81000,0.4986056089401245,TRUE,Linear,$\bm{+}$,2,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s20_h2_z2,1.47861742158438e-5,3794,2.168427393201e-8,6.1365221881715115e-6,27000,50000,0.4942091405391693,TRUE,Linear,$\bm{+}$,20,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s21_h2_z2,1.47861742158438e-5,3413,7.070970298173052e-8,2.3662842068006285e-6,26000,51000,0.4964956045150757,TRUE,Linear,$\bm{+}$,21,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s22_h2_z2,1.47861742158438e-5,4781,4.7552742188372576e-8,1.9044085775021813e-6,26000,69000,0.4979114532470703,TRUE,Linear,$\bm{+}$,22,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s23_h2_z2,1.47861742158438e-5,664,4.085378435547682e-8,6.475277700701554e-7,30000,48000,0.5259957313537598,TRUE,Linear,$\bm{+}$,23,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s24_h2_z2,1.47861742158438e-5,986,2.606613058731e-8,3.9939271800903953e-7,26000,55000,0.48480117321014404,TRUE,Linear,$\bm{+}$,24,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s25_h2_z2_lr-adam-0.00100-0.0,1.47861742158438e-5,2302,4.625470495511763e-8,1.3750353673458449e-6,26000,76000,0.497842013835907,TRUE,Linear,$\bm{+}$,25,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s26_h2_z2_lr-adam-0.00100-0.0,1.47861742158438e-5,2377,8.40215861330762e-8,2.6327313662477536e-6,35000,46000,0.5101990699768066,TRUE,Linear,$\bm{+}$,26,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s27_h2_z2_lr-adam-0.00100-0.0,1.47861742158438e-5,1080,1.3741553672730333e-8,4.484039379804017e-7,28000,65000,0.49960798025131226,TRUE,Linear,$\bm{+}$,27,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s28_h2_z2_lr-adam-0.00100-0.0,1.47861742158438e-5,327,5.81156243129044e-8,1.624074457140523e-6,30000,51000,0.4998447299003601,TRUE,Linear,$\bm{+}$,28,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s29_h2_z2_lr-adam-0.00100-0.0,1.47861742158438e-5,2292,5.9123284046336266e-8,9.663446007834864e-7,26000,63000,0.493047833442688,TRUE,Linear,$\bm{+}$,29,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s3_h2_z2,1.47861742158438e-5,2122,5.974386851903546e-8,3.512642933856114e-6,32000,69000,0.837009072303772,TRUE,Linear,$\bm{+}$,3,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s30_h2_z2_lr-adam-0.00100-0.0,1.47861742158438e-5,4580,3.8171354077576325e-8,1.722675278870156e-6,29000,75000,0.4999728798866272,TRUE,Linear,$\bm{+}$,30,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s31_h2_z2_lr-adam-0.00100-0.0,1.47861742158438e-5,2932,5.597966534764964e-8,1.871366521299933e-6,28000,60000,0.6401300430297852,TRUE,Linear,$\bm{+}$,31,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s32_h2_z2_lr-adam-0.00100-0.0,1.47861742158438e-5,4631,4.520648033690122e-8,7.654311957594473e-7,31000,64000,0.6346771717071533,TRUE,Linear,$\bm{+}$,32,5001
linear_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s33_h2_z2_lr-adam-0.00100-0.0,1.47861742158438e-5,2133,2.2730388238301202e-8,6.372633265527838e-7,28000,70000,0.8591009378433228,TRUE,Linear,$\bm{+}$,33,5001
