model,operation,success.rate.mean,success.rate.lower,success.rate.upper,converged.at.median,converged.at.mean,converged.at.lower,converged.at.upper,sparse.error.mean,sparse.error.lower,sparse.error.upper
"$\mathrm{NAC}_{\bullet,\mathrm{NMU}}$",$\bm{\times}$,0.93,0.862504852609265,0.9656807389327274,1750000,1932665.0433804754,1839308.035345352,2009674.4920280138,9.453345005910109e-7,5.273404080229873e-7,1.3633285931590345e-6
"$\mathrm{NAC}_{\bullet,\mathrm{NMU}}$",$\bm{\mathbin{/}}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
"$\mathrm{NAC}_{\bullet,\mathrm{NMU}}$",$\bm{+}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
"$\mathrm{NAC}_{\bullet,\mathrm{NMU}}$",$\bm{-}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
"$\mathrm{NAC}_{\bullet,\mathrm{NMU}}$",$\sqrt{z}$,0.03,0.010254524024038928,0.08451936429052759,1003000,1003000,1003000,1003000,0.1675209451348127,0.15944933348485107,0.175797841861759
"$\mathrm{NAC}_{\bullet,\mathrm{NMU}}$",$z^2$,1,0.9630065017930143,1,1356500,1465511.9492066165,1406520.1652284174,1536037.018821591,2.949995109702286e-7,2.808981386294204e-7,3.091008833110368e-7
"$\mathrm{NAC}_{\bullet,\sigma}$",$\bm{\times}$,1,0.9630065017930143,1,2547500,2648750.000005314,2576906.8937236015,2736449.8637594664,4.60893400772216e-5,4.0506454816611315e-5,5.104494249601079e-5
"$\mathrm{NAC}_{\bullet,\sigma}$",$\bm{\mathbin{/}}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
"$\mathrm{NAC}_{\bullet,\sigma}$",$\bm{+}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
"$\mathrm{NAC}_{\bullet,\sigma}$",$\bm{-}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
"$\mathrm{NAC}_{\bullet,\sigma}$",$\sqrt{z}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
"$\mathrm{NAC}_{\bullet,\sigma}$",$z^2$,1,0.9630065017930143,1,1889000,1938492.5428876579,1876369.2687385147,1991496.3888744486,0.017772581879236662,0.017337654015106625,0.018204701483645946
$\mathrm{NAC}_{\bullet}$,$\bm{\times}$,0.31,0.2277969721237604,0.40626055719489407,2771000,3007161.2903243955,2769012.096504683,3297896.3838259312,5.803962960754129e-4,3.2289171648511365e-4,0.0010632081607829524
$\mathrm{NAC}_{\bullet}$,$\bm{\mathbin{/}}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
$\mathrm{NAC}_{\bullet}$,$\bm{+}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
$\mathrm{NAC}_{\bullet}$,$\bm{-}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
$\mathrm{NAC}_{\bullet}$,$\sqrt{z}$,0.07,0.03431926106727269,0.13749514739073498,400000,1479714.2857141406,921644.9505923265,2076494.550525506,0.24072443398157184,0.22370309175614406,0.25785910480348817
$\mathrm{NAC}_{\bullet}$,$z^2$,0.77,0.6784561697712623,0.8415673411969654,3273000,3181506.4935043035,2982761.0138320588,3339367.626045144,0.01811964606372017,0.017551419264732446,0.01869758661247044
$\mathrm{NAC}_{+}$,$\bm{\times}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
$\mathrm{NAC}_{+}$,$\bm{\mathbin{/}}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
$\mathrm{NAC}_{+}$,$\bm{+}$,1,0.9630065017930143,1,248500,492492.9744785637,447626.1175393659,544457.1480715236,0.22655925694933113,0.22007106516393143,0.23309025650543858
$\mathrm{NAC}_{+}$,$\bm{-}$,1,0.9630065017930143,1,9000,370660.8639109555,332306.83283542044,408861.1112400317,0.22980147201955328,0.224386300044536,0.23524199140318244
$\mathrm{NAC}_{+}$,$\sqrt{z}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
$\mathrm{NAC}_{+}$,$z^2$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
Linear,$\bm{\times}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
Linear,$\bm{\mathbin{/}}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
Linear,$\bm{+}$,1,0.9630065017930143,1,61000,63056.13452500741,59751.958809440875,65581.25814593126,0.24890386914128623,0.24854836445137593,0.24925932720502308
Linear,$\bm{-}$,0.07,0.03431926106727269,0.13749514739073498,3332000,1446751.4734793992,836626.2757393775,2147484.466919322,0.17611058502027438,0.11805021625167934,0.248256538732922
Linear,$\sqrt{z}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
Linear,$z^2$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
NALU,$\bm{\times}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
NALU,$\bm{\mathbin{/}}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
NALU,$\bm{+}$,0.14,0.08526343659939133,0.22137188210963835,1493000,1610857.1428582682,1280977.9202467555,1993668.0308674222,0.17373399191609784,0.14922362747431298,0.20060252488827326
NALU,$\bm{-}$,0.14,0.08526343659939133,0.22137188210963835,1877500,1905615.8465838265,1451008.896070335,2349543.2460978483,0.21472412268507207,0.1932043237702662,0.23698290238782574
NALU,$\sqrt{z}$,0.02,0.005501967550162357,0.07001179072854387,2644500,3327098.383661162,1114085.0251946526,5119901.771815567,0.49999746680259705,0.49998951463998975,0.5
NALU,$z^2$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
NAU,$\bm{\times}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
NAU,$\bm{\mathbin{/}}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
NAU,$\bm{+}$,1,0.9630065017930143,1,18000,390919.1237556279,353873.64803,434566.753774287,3.187102488368509e-5,1.8930076945831674e-5,4.481197282153851e-5
NAU,$\bm{-}$,1,0.9630065017930143,1,5000,161802.26627771766,145642.65406155624,178534.2300161707,0.0662117980934571,0.047488572058398494,0.09155987779607279
NAU,$\sqrt{z}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
NAU,$z^2$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
NMU,$\bm{\times}$,0.98,0.9299882092714561,0.9944980324498376,1434500,1520970.3448828245,1455520.983798807,1569098.1494700755,4.205610505833851e-7,3.9130444272148634e-7,4.4981765844528386e-7
NMU,$\bm{\mathbin{/}}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
